#FILE	NUM_FOUND	(Tet)tet(42)	TET42	VANRO	acpXL	tet(42)	tet(42)_1	vanR-O	vanRO
/project/dkarig/ecocoat/downstream_analysis/De_replicated_WGS/Set_2/ABricate_results/ABI4_362_argannot_out.tab	1	92.39	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/De_replicated_WGS/Set_2/ABricate_results/ABI4_362_card_out.tab	2	.	.	.	.	92.39	.	.	93.45
/project/dkarig/ecocoat/downstream_analysis/De_replicated_WGS/Set_2/ABricate_results/ABI4_362_megares_out.tab	2	.	92.39	93.45	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/De_replicated_WGS/Set_2/ABricate_results/ABI4_362_ncbi_out.tab	2	.	.	.	.	92.39	.	93.45	.
/project/dkarig/ecocoat/downstream_analysis/De_replicated_WGS/Set_2/ABricate_results/ABI4_362_plasmidfinder_out.tab	0	.	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/De_replicated_WGS/Set_2/ABricate_results/ABI4_362_resfinder_out.tab	1	.	.	.	.	.	92.39	.	.
/project/dkarig/ecocoat/downstream_analysis/De_replicated_WGS/Set_2/ABricate_results/ABI4_362_vfdb_out.tab	1	.	.	.	95.78;90.07	.	.	.	.
