#FILE	NUM_FOUND	(Bla)blaCARB-42	(Tet)tet(34)	(Tet)tet(35)	CARB	CRP	TET34	TET35	blaCARB-42	blaCARB-42_1	tet(34)	tet(34)_1	tet(35)	tet(35)_1	tlh	tyeA	vcrD	vcrH	vopB	vopD	vopR	vscF	vscI	vscN	vscR	vscS	vscU
/project/dkarig/ecocoat/downstream_analysis/ABricate_results/ABD4_192_HA_argannot_out.tab	3	100.00	100.00	99.91	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/ABricate_results/ABD4_192_HA_card_out.tab	2	.	.	.	.	100.00	.	.	.	.	.	.	99.91	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/ABricate_results/ABD4_192_HA_megares_out.tab	4	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/ABricate_results/ABD4_192_HA_ncbi_out.tab	3	.	.	.	.	.	.	.	100.00	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/ABricate_results/ABD4_192_HA_plasmidfinder_out.tab	0	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/ABricate_results/ABD4_192_HA_resfinder_out.tab	3	.	.	.	.	.	.	.	.	100.00	.	100.00	.	99.91	.	.	.	.	.	.	.	.	.	.	.	.	.
/project/dkarig/ecocoat/downstream_analysis/ABricate_results/ABD4_192_HA_vfdb_out.tab	13	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	99.95	100.00	100.00	99.90	99.90	100.00	99.71	99.02	99.69	100.00	98.48
